stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
03978,,"E 260TH ST & AARON AV",,  41.604017, -81.502862,,,0,
03980,,"E 260TH ST & BRUSH AV",,  41.589274, -81.502535,,,0,
03982,,"E 260TH ST & ELINORE AV",,  41.607596, -81.502896,,,0,
03984,,"RICHMOND RD & EUCLID AV",,  41.588082, -81.502159,,,0,
03986,,"E 260TH ST & FARRINGDON AV",,  41.611111, -81.503091,,,0,
03987,,"E 260TH ST & FARRINGDON AV",,  41.610934, -81.502958,,,0,
03988,,"E 260TH ST & FORESTVIEW AV",,  41.615574, -81.503107,,,0,
03989,,"E 260TH ST & FORESTVIEW AV",,  41.615298, -81.502972,,,0,
03990,,"E 260TH ST & HELEN AV",,  41.606118, -81.502991,,,0,
03991,,"E 260TH ST & N LAKELAND BLVD",,  41.602446, -81.502742,,,0,
03992,,"E 260TH ST & MALLARD AV",,  41.613558, -81.502955,,,0,
03998,,"E 260TH ST & TUNGSTEN RD",,  41.592258, -81.502654,,,0,
04015,,"E 276TH ST & BRUSH AV",,  41.595024, -81.492663,,,0,
04016,,"E 276TH ST & EUCLID AV",,  41.594138, -81.492169,,,0,
04017,,"E 276TH ST & SIDNEY DR",,  41.596131, -81.493502,,,0,
04018,,"E 276TH ST & SIDNEY DR",,  41.596323, -81.493788,,,0,
04019,,"E 276TH ST & TUNGSTEN RD",,  41.596872, -81.494145,,,0,
04032,,"E 3RD ST & ROCKWELL AV",,  41.500928, -81.692282,,,0,
04041,,"2470 E 30TH ST (TRI-C METRO CAMPUS CTR)",,  41.493014, -81.667758,,,0,
04044,,"2465 E 30TH ST (TRI-C METRO ATHLETIC CTR)",,  41.492960, -81.667467,,,0,
04048,,"E 30TH ST & BROADWAY",,  41.488437, -81.669324,,,0,
04049,,"BROADWAY & E 30TH ST",,  41.488301, -81.669125,,,0,
04055,,"E 30TH ST & WOODLAND AV",,  41.491550, -81.668281,,,0,
04063,,"BROADWAY & E 37TH ST",,  41.480722, -81.665509,,,0,
04064,,"BROADWAY & E 34TH ST",,  41.487259, -81.666963,,,0,
04065,,"BROADWAY & E 34TH ST",,  41.487089, -81.666658,,,0,
04066,,"BROADWAY & TRUMBULL AV",,  41.482803, -81.665614,,,0,
04068,,"BROADWAY & TRUMBULL AV",,  41.482798, -81.665767,,,0,
04071,,"PAYNE AV & E 40TH ST",,  41.510509, -81.659131,,,0,
04072,,"E 55TH ST & BELLFORD AV",,  41.476469, -81.651282,,,0,
04075,,"E 55TH ST & BOWER AV",,  41.479510, -81.651338,,,0,
04080,,"E 55TH ST & CARNEGIE AV",,  41.501873, -81.651702,,,0,
04081,,"E 55TH ST & CARNEGIE AV",,  41.501792, -81.651835,,,0,
04082,,"E 55TH ST & CEDAR AV",,  41.500356, -81.651824,,,0,
04083,,"E 55TH ST & CENTRAL AV",,  41.496145, -81.651627,,,0,
04084,,"E 55TH ST & CENTRAL AV",,  41.496417, -81.651766,,,0,
04086,,"E 55TH ST & COBLEIGH CT",,  41.485668, -81.651587,,,0,
04089,,"E 55TH ST & CURTISS AV",,  41.506709, -81.651727,,,0,
04090,,"E 55TH ST & DIAMOND AV",,  41.483450, -81.651398,,,0,
04091,,"E 55TH ST & ENSIGN AV",,  41.484793, -81.651426,,,0,
04092,,"E 55TH ST & EUCLID AV",,  41.504206, -81.651687,,,0,
04093,,"E 55TH ST &  EUCLID AV",,  41.504207, -81.651822,,,0,
04094,,"E 55TH ST & FRANCIS AV",,  41.478764, -81.651457,,,0,
04096,,"E 55TH ST & HALTNORTH CT",,  41.489121, -81.651546,,,0,
04098,,"E 55TH ST & HARLEM AV",,  41.515241, -81.651949,,,0,
04100,,"E 55TH ST & HOMER AV",,  41.519704, -81.651983,,,0,
04101,,"E 55TH ST & HOUGH AV",,  41.508150, -81.651720,,,0,
04102,,"E 55TH ST & JULIA AV",,  41.482723, -81.651530,,,0,
04103,,"E 55TH ST & KINSMAN RD",,  41.487592, -81.651511,,,0,place_xwo55
